# l_id d_id c_ld
0 0 10.730
0 1 7.271
0 2 0.005
0 3 8.598
0 4 5.898
0 5 22.172
0 6 0.005
0 7 5.893
0 8 32.962
0 9 17.619
0 10 0.005
0 11 20.699
0 12 8.149
0 13 9.554
0 14 44.466
0 15 10.247
0 16 5.516
0 17 6.824
0 18 17.744
0 19 15.715
0 20 7.163
0 21 6.557
0 22 8.619
0 23 16.768
0 24 14.366
0 25 18.661
0 26 6.882
0 27 7.048
0 28 6.612
0 29 0.005
0 30 21.913
0 31 6.201
0 32 5.884
0 33 5.807
0 34 0.005
0 35 5.167
0 36 0.005
0 37 7.404
0 38 14.510
0 39 0.005
0 40 5.794
0 41 18.851
0 42 0.005
0 43 0.005
0 44 8.292
0 45 0.005
0 46 0.005
0 47 22.006
0 48 7.483
0 49 0.005
0 50 37.922
0 51 6.102
0 52 5.950
0 53 9.993
0 54 6.260
0 55 7.678
0 56 9.145
0 57 15.855
0 58 19.946
0 59 8.737
0 60 9.045
0 61 0.005
0 62 0.005
0 63 6.912
0 64 0.005
0 65 6.026
0 66 0.005
0 67 7.281
0 68 7.809
0 69 5.323
0 70 16.280
0 71 0.005
0 72 0.005
0 73 14.659
0 74 20.751
0 75 6.307
0 76 9.005
0 77 24.607
0 78 18.836
0 79 15.781
0 80 14.674
0 81 18.838
0 82 17.576
0 83 0.005
0 84 6.941
0 85 7.497
0 86 17.250
0 87 5.980
0 88 7.112
0 89 20.472
0 90 5.709
0 91 5.316
0 92 5.724
0 93 21.272
0 94 0.005
0 95 6.801
0 96 14.727
0 97 0.005
0 98 6.583
0 99 22.345
0 100 20.711
0 101 15.457
0 102 5.709
0 103 20.407
0 104 41.366
0 105 17.055
0 106 6.383
0 107 18.030
0 108 8.738
0 109 8.400
0 110 56.124
0 111 0.005
0 112 33.147
0 113 48.274
0 114 7.099
0 115 0.005
0 116 0.005
0 117 0.005
0 118 5.924
0 119 7.589
0 120 7.074
0 121 5.458
0 122 8.959
0 123 0.005
0 124 0.005
0 125 6.599
0 126 0.005
0 127 6.682
0 128 0.005
0 129 17.563
0 130 5.335
0 131 6.448
0 132 16.947
0 133 7.231
0 134 6.858
0 135 6.289
0 136 0.005
0 137 19.646
0 138 14.738
0 139 37.915
0 140 8.847
0 141 9.676
0 142 9.647
0 143 6.051
0 144 6.183
0 145 7.647
0 146 10.706
0 147 20.658
0 148 8.695
0 149 42.045
0 150 7.778
0 151 37.531
0 152 8.018
0 153 7.886
0 154 6.815
0 155 14.638
0 156 7.690
0 157 15.459
0 158 0.005
0 159 21.708
0 160 0.005
0 161 16.016
0 162 7.926
0 163 26.488
0 164 0.005
0 165 9.346
0 166 25.051
0 167 16.008
0 168 17.418
0 169 0.005
0 170 10.132
0 171 19.686
0 172 5.992
0 173 16.088
0 174 20.261
0 175 0.005
0 176 16.668
0 177 16.428
0 178 16.535
0 179 14.613
0 180 7.765
0 181 0.005
0 182 18.271
0 183 7.909
0 184 58.155
0 185 0.005
0 186 23.274
0 187 26.543
0 188 18.368
0 189 21.083
0 190 7.331
0 191 26.280
0 192 17.120
0 193 6.704
0 194 22.885
0 195 30.413
0 196 6.471
0 197 20.234
0 198 16.916
0 199 14.685
0 200 0.005
0 201 27.913
0 202 55.873
0 203 5.812
0 204 5.791
0 205 5.888
0 206 6.923
0 207 16.832
0 208 8.427
0 209 7.448
0 210 0.005
0 211 46.115
0 212 13.707
0 213 8.518
0 214 6.934
0 215 6.247
0 216 13.612
0 217 7.996
0 218 27.719
0 219 0.005
0 220 9.014
0 221 9.124
0 222 8.884
0 223 6.921
0 224 37.277
0 225 9.805
0 226 15.663
0 227 22.238
0 228 6.385
0 229 39.635
0 230 22.166
0 231 0.005
0 232 6.302
0 233 36.580
0 234 9.801
0 235 0.005
0 236 7.280
0 237 20.458
0 238 6.954
0 239 6.766
0 240 0.005
0 241 17.807
0 242 5.702
0 243 5.831
0 244 23.085
0 245 15.627
0 246 58.047
0 247 19.420
0 248 0.005
0 249 6.889
0 250 0.005
0 251 17.564
0 252 9.412
0 253 0.005
0 254 6.148
0 255 6.379
0 256 17.245
0 257 60.347
0 258 5.101
0 259 14.764
0 260 0.005
0 261 0.005
0 262 5.789
0 263 0.005
0 264 0.005
0 265 7.796
0 266 24.049
0 267 7.501
0 268 31.957
0 269 14.768
0 270 6.423
0 271 17.049
0 272 0.005
0 273 0.005
0 274 17.041
0 275 0.005
0 276 28.139
0 277 5.462
0 278 8.620
0 279 31.139
0 280 0.005
0 281 6.207
0 282 0.005
0 283 0.005
0 284 6.175
0 285 0.005
0 286 4.904
0 287 16.923
0 288 0.005
0 289 15.127
0 290 6.165
0 291 6.486
0 292 7.358
0 293 6.151
0 294 8.198
0 295 7.254
0 296 6.298
0 297 17.118
0 298 6.630
0 299 0.005
1 0 0.005
1 1 42.800
1 2 46.795
1 3 8.282
1 4 17.507
1 5 7.360
1 6 17.962
1 7 5.168
1 8 6.689
1 9 15.999
1 10 15.776
1 11 0.005
1 12 0.005
1 13 21.967
1 14 7.693
1 15 22.759
1 16 6.075
1 17 5.088
1 18 15.598
1 19 5.272
1 20 0.005
1 21 5.230
1 22 0.005
1 23 17.299
1 24 24.443
1 25 35.181
1 26 8.546
1 27 6.052
1 28 0.005
1 29 18.191
1 30 18.161
1 31 8.042
1 32 17.003
1 33 0.005
1 34 15.691
1 35 6.989
1 36 0.005
1 37 0.005
1 38 8.335
1 39 13.967
1 40 17.993
1 41 21.323
1 42 22.855
1 43 20.520
1 44 7.512
1 45 14.966
1 46 65.959
1 47 27.540
1 48 6.362
1 49 0.005
1 50 19.155
1 51 50.522
1 52 0.005
1 53 0.005
1 54 20.374
1 55 0.005
1 56 9.021
1 57 7.069
1 58 25.806
1 59 6.433
1 60 6.722
1 61 22.728
1 62 8.807
1 63 7.636
1 64 20.029
1 65 24.870
1 66 6.874
1 67 5.164
1 68 17.592
1 69 0.005
1 70 19.915
1 71 19.424
1 72 5.409
1 73 9.825
1 74 0.005
1 75 16.409
1 76 5.731
1 77 6.500
1 78 24.801
1 79 5.625
1 80 6.865
1 81 17.675
1 82 5.703
1 83 8.537
1 84 5.512
1 85 6.667
1 86 7.407
1 87 56.445
1 88 6.952
1 89 9.043
1 90 6.970
1 91 7.135
1 92 7.002
1 93 8.351
1 94 0.005
1 95 0.005
1 96 38.721
1 97 29.049
1 98 0.005
1 99 35.949
1 100 16.917
1 101 10.038
1 102 9.394
1 103 6.145
1 104 4.918
1 105 7.593
1 106 21.805
1 107 8.638
1 108 5.964
1 109 22.728
1 110 7.745
1 111 7.967
1 112 6.430
1 113 27.664
1 114 0.005
1 115 5.893
1 116 15.054
1 117 6.153
1 118 0.005
1 119 17.826
1 120 0.005
1 121 18.732
1 122 65.706
1 123 0.005
1 124 0.005
1 125 27.486
1 126 0.005
1 127 5.522
1 128 9.191
1 129 19.600
1 130 8.858
1 131 5.361
1 132 7.234
1 133 8.079
1 134 0.005
1 135 28.785
1 136 29.941
1 137 0.005
1 138 18.617
1 139 28.979
1 140 0.005
1 141 17.579
1 142 0.005
1 143 5.643
1 144 0.005
1 145 7.567
1 146 18.377
1 147 17.289
1 148 7.050
1 149 8.340
1 150 17.320
1 151 5.879
1 152 61.852
1 153 50.598
1 154 0.005
1 155 8.193
1 156 15.978
1 157 7.695
1 158 10.354
1 159 0.005
1 160 0.005
1 161 22.732
1 162 7.870
1 163 0.005
1 164 34.601
1 165 18.760
1 166 21.926
1 167 7.404
1 168 5.991
1 169 16.318
1 170 5.791
1 171 0.005
1 172 7.886
1 173 5.319
1 174 6.402
1 175 23.096
1 176 26.543
1 177 16.827
1 178 6.431
1 179 9.996
1 180 19.616
1 181 6.314
1 182 0.005
1 183 7.008
1 184 7.933
1 185 17.973
1 186 7.151
1 187 15.221
1 188 17.667
1 189 19.982
1 190 6.615
1 191 16.760
1 192 7.828
1 193 13.463
1 194 5.327
1 195 15.579
1 196 18.612
1 197 0.005
1 198 6.127
1 199 6.043
1 200 22.210
1 201 6.176
1 202 7.489
1 203 6.807
1 204 0.005
1 205 9.339
1 206 5.199
1 207 6.386
1 208 19.574
1 209 8.161
1 210 6.057
1 211 8.649
1 212 6.343
1 213 20.302
1 214 6.721
1 215 21.988
1 216 6.659
1 217 5.330
1 218 0.005
1 219 9.049
1 220 0.005
1 221 43.468
1 222 0.005
1 223 30.519
1 224 0.005
1 225 17.831
1 226 6.696
1 227 8.680
1 228 0.005
1 229 0.005
1 230 0.005
1 231 20.666
1 232 7.266
1 233 56.346
1 234 0.005
1 235 21.413
1 236 10.339
1 237 22.192
1 238 14.895
1 239 7.929
1 240 6.049
1 241 5.691
1 242 13.989
1 243 7.624
1 244 18.173
1 245 20.250
1 246 21.338
1 247 8.009
1 248 5.324
1 249 20.099
1 250 30.966
1 251 9.501
1 252 8.838
1 253 6.458
1 254 0.005
1 255 0.005
1 256 0.005
1 257 0.005
1 258 16.703
1 259 13.851
1 260 7.158
1 261 8.635
1 262 0.005
1 263 0.005
1 264 17.402
1 265 0.005
1 266 7.915
1 267 0.005
1 268 8.289
1 269 6.120
1 270 0.005
1 271 7.215
1 272 6.807
1 273 5.436
1 274 8.637
1 275 6.250
1 276 0.005
1 277 9.135
1 278 18.852
1 279 0.005
1 280 8.316
1 281 8.217
1 282 9.754
1 283 8.698
1 284 18.651
1 285 8.302
1 286 7.153
1 287 15.647
1 288 0.005
1 289 69.451
1 290 16.796
1 291 5.717
1 292 7.678
1 293 16.746
1 294 14.384
1 295 39.630
1 296 20.925
1 297 6.092
1 298 14.176
1 299 9.178
2 0 0.005
2 1 8.057
2 2 0.005
2 3 21.046
2 4 6.818
2 5 5.982
2 6 5.386
2 7 22.583
2 8 6.316
2 9 8.458
2 10 25.914
2 11 32.722
2 12 6.063
2 13 0.005
2 14 8.037
2 15 7.026
2 16 0.005
2 17 46.613
2 18 15.122
2 19 60.873
2 20 0.005
2 21 8.336
2 22 7.875
2 23 17.030
2 24 14.960
2 25 8.477
2 26 7.899
2 27 0.005
2 28 20.519
2 29 8.341
2 30 27.377
2 31 52.806
2 32 22.197
2 33 0.005
2 34 8.838
2 35 6.809
2 36 32.613
2 37 15.166
2 38 7.198
2 39 18.201
2 40 0.005
2 41 0.005
2 42 9.623
2 43 6.981
2 44 35.616
2 45 8.154
2 46 0.005
2 47 0.005
2 48 6.932
2 49 5.822
2 50 21.513
2 51 0.005
2 52 42.613
2 53 30.730
2 54 0.005
2 55 0.005
2 56 6.516
2 57 36.241
2 58 0.005
2 59 29.624
2 60 7.993
2 61 19.939
2 62 0.005
2 63 9.706
2 64 9.826
2 65 8.044
2 66 9.057
2 67 5.785
2 68 6.410
2 69 8.587
2 70 0.005
2 71 32.552
2 72 0.005
2 73 0.005
2 74 0.005
2 75 17.156
2 76 8.775
2 77 0.005
2 78 6.236
2 79 6.269
2 80 6.656
2 81 8.338
2 82 9.398
2 83 17.700
2 84 8.246
2 85 0.005
2 86 6.670
2 87 8.214
2 88 7.717
2 89 48.564
2 90 15.244
2 91 0.005
2 92 0.005
2 93 0.005
2 94 0.005
2 95 9.744
2 96 6.317
2 97 15.214
2 98 23.551
2 99 5.926
2 100 36.842
2 101 5.837
2 102 6.525
2 103 45.460
2 104 24.649
2 105 10.055
2 106 24.018
2 107 5.412
2 108 22.833
